Time Step,Stress Ratio,Stress Ratio Change
501,0.322779167,7.17E-06
502,0.322786583,7.42E-06
503,0.32278775,1.17E-06
504,0.322795917,8.17E-06
505,0.322803833,7.92E-06
506,0.322806417,2.58E-06
507,0.322812917,6.50E-06
508,0.322819583,6.67E-06
509,0.322820667,1.08E-06
510,0.322829083,8.42E-06
511,0.322833167,4.08E-06
512,0.322834333,1.17E-06
513,0.3228415,7.17E-06
514,0.322848667,7.17E-06
515,0.322851417,2.75E-06
516,0.322858833,7.42E-06
517,0.32286425,5.42E-06
518,0.322866833,2.58E-06
519,0.322874667,7.83E-06
520,0.322879083,4.42E-06
521,0.3228805,1.42E-06
522,0.322887667,7.17E-06
523,0.322890333,2.67E-06
524,0.322892417,2.08E-06
525,0.322896417,4.00E-06
526,0.32289475,-1.67E-06
527,0.322897417,2.67E-06
528,0.322909417,1.20E-05
529,0.3229135,4.08E-06
530,0.322917917,4.42E-06
531,0.322926,8.08E-06
532,0.322928667,2.67E-06
533,0.322936,7.33E-06
534,0.322943917,7.92E-06
535,0.322946833,2.92E-06
536,0.322955167,8.33E-06
537,0.322962917,7.75E-06
538,0.322965583,2.67E-06
539,0.32297375,8.17E-06
540,0.32298175,8.00E-06
541,0.32298375,2.00E-06
542,0.322991917,8.17E-06
543,0.323,8.08E-06
544,0.3230015,1.50E-06
545,0.323011333,9.83E-06
546,0.323018333,7.00E-06
547,0.323016417,-1.92E-06
548,0.32302425,7.83E-06
549,0.323031417,7.17E-06
550,0.323033583,2.17E-06
551,0.32304325,9.67E-06
552,0.323048917,5.67E-06
553,0.3230515,2.58E-06
554,0.323059083,7.58E-06
555,0.323066917,7.83E-06
556,0.323069583,2.67E-06
557,0.32307675,7.17E-06
558,0.323082917,6.17E-06
559,0.323086833,3.92E-06
560,0.323094917,8.08E-06
561,0.323099833,4.92E-06
562,0.323104167,4.33E-06
563,0.323105,8.33E-07
564,0.322635917,-0.000469083
565,0.3218245,-0.000811417
566,0.321999083,0.000174583
567,0.322234333,0.00023525
568,0.32208325,-0.000151083
569,0.3220035,-7.97E-05
570,0.32212025,0.00011675
571,0.322250167,0.000129917
572,0.322314667,6.45E-05
573,0.32238775,7.31E-05
574,0.322492083,0.000104333
575,0.322565,7.29E-05
576,0.3226215,5.65E-05
577,0.322680833,5.93E-05
578,0.32274375,6.29E-05
579,0.322785167,4.14E-05
580,0.322822167,3.70E-05
581,0.322859583,3.74E-05
582,0.322885917,2.63E-05
